Numero de entrada en el vocabulario,palabra,Positiva,Negativa,Frecuencia_Total
701,specifications,4.0,0.0,4.0
702,transfer,269.0,25.0,294.0
703,inspire,3.0,3.0,6.0
704,unexpected,4.0,1.0,5.0
705,riderz,1.0,0.0,1.0
706,fastermy,1.0,0.0,1.0
707,bemuch,1.0,0.0,1.0
708,charge,9.0,4.0,13.0
709,longterm,1.0,0.0,1.0
710,fsck,0.0,1.0,1.0
711,cardusing,1.0,0.0,1.0
712,xl,1.0,0.0,1.0
713,fifty,1.0,0.0,1.0
714,decover,1.0,0.0,1.0
715,appreciated,5.0,0.0,5.0
716,periodically,1.0,0.0,1.0
717,midtolatemorning,1.0,0.0,1.0
718,andiod,1.0,0.0,1.0
719,written,12.0,6.0,18.0
720,native,8.0,0.0,8.0
721,issueswhile,1.0,0.0,1.0
722,pleasant,1.0,0.0,1.0
723,totally,21.0,7.0,28.0
724,filesi,0.0,1.0,1.0
725,select,5.0,0.0,5.0
726,signal,2.0,0.0,2.0
727,everyones,1.0,0.0,1.0
728,sdsdqugaffparating,1.0,0.0,1.0
729,tries,2.0,1.0,3.0
730,licensing,1.0,1.0,2.0
731,stayed,0.0,2.0,2.0
732,placed,24.0,1.0,25.0
733,usa,0.0,1.0,1.0
734,augmentation,2.0,0.0,2.0
735,sputtering,1.0,0.0,1.0
736,topographic,1.0,0.0,1.0
737,tho,4.0,0.0,4.0
738,problemedit,0.0,1.0,1.0
739,partitioned,2.0,1.0,3.0
740,secure,11.0,1.0,12.0
741,knewi,0.0,1.0,1.0
742,sdprime,1.0,0.0,1.0
743,oss,1.0,0.0,1.0
744,snot,1.0,0.0,1.0
745,proprietary,1.0,1.0,2.0
746,thats,102.0,18.0,120.0
747,met,9.0,1.0,10.0
748,freefor,1.0,0.0,1.0
749,offered,6.0,4.0,10.0
750,brainer,7.0,1.0,8.0
751,sez,1.0,0.0,1.0
752,migrated,1.0,0.0,1.0
753,endless,2.0,0.0,2.0
754,hesitate,14.0,1.0,15.0
755,mere,1.0,0.0,1.0
756,oki,2.0,0.0,2.0
757,skips,5.0,0.0,5.0
758,lowdown,1.0,0.0,1.0
759,expand,68.0,2.0,70.0
